охра	ɔ x r ɐ
накаже	n ɐ k a ʒ e
ватикана	v ə t i k a n ə
смущение	s m u ʃ t ɛ n i ɛ
оръжие	o r ɤ ʒ i ɛ
цица	t͡s i t͡s ə
узаконения	ʊ z ə k o n ɛ n i j ə
каменарка	k ə m ɛ n a r k ə
небеса	n ɛ b ɛ s a
зала	z a ɫ ə
комар	k o m a r
подкупя	p o t k u pʲ ə
липък	lʲ i p ə k
ангина	ɐ ŋ ɡʲ i n ə
апологет	ə p o ɫ o ɡʲ ɛ t
венера	v ɛ n ɛ r ə
пижек	p i ʒ e k
мръсен	m r ɤ s ɛ n
панталон	p ə n t ɐ ɫ ɔ n
енклитичен	ɛ ŋ k lʲ i t i t͡ʃ e n
анатомичен	ə n ə t o m i t͡ʃ e n
въдя	v ɤ dʲ ə
представям	p r ɛ t s t a vʲ ə m
никоя	n i k o j ə
тайван	t ɐ j v a n
медовина	m ɛ d o v i n ə
брънка	b r ɤ ŋ k ə
баба	b a b ə
осмий	ɔ s m iː
елате	ɛ ɫ a t ɛ
апсида	ɐ p s i d ə
носител	n o s i t ɛ ɫ
свързан	s v ɤ r z ə n
снощи	s n ɔ ʃ t i
добре	d o b r ɛ
скуа	s k u ə
оставя	o s t a vʲ ə
фрегата	f r ɛ ɡ a t ə
бол	b ɔ ɫ
зърнен	z ɤ r n ɛ n
изчистя	i ʃ t͡ʃ i s tʲ ə
онакава	o n ɐ k a v ə
неделя	n ɛ d ɛ lʲ ə
започна	z ɐ p ɔ t͡ʃ n ə
приближа	p r i b lʲ i ʒ a̟
тук	t u k
кланица	k ɫ a n i t͡s ə
корем	k o r ɛ m
сматрям	s m a t rʲ ə m
турци	t u r t͡s i
премяна	p r ɛ mʲ a̟ n ə
обущарница	o b u ʃ t a r n i t͡s ə
въздух	v ɤ z d ʊ x
пукот	p u k o t
подялба	p o dʲ a̟ ɫ b ə
мартеница	m a r t ɛ n i t͡s ə
легален	lʲ ɛ ɡ a lʲ ɛ n
рис	r i s
различие	r ɐ z lʲ i t͡ʃ i ɛ
брадва	b r a d v ə
узаконилите	ʊ z ə k o n i lʲ i t ɛ
бида	b i d ə
билата	b i ɫ a t ə
мърляв	m ɤ r lʲ ə f
следвам	s lʲ ɛ d v ə m
еврейка	ɛ v r ɛ j k ə
солен	s o lʲ ɛ n
озаглавя	o z ə ɡ ɫ ɐ vʲ ɤ̟
автогара	a f t o ɡ a r ə
агония	ɐ ɡ ɔ n i j ə
поема	p o ɛ m ə
бисмут	b i s m u t
свойство	s v ɔ j s t v o
офис	ɔ f i s
имахте	i m a x t ɛ
един	ɛ d i n
президент	p r ɛ z i d ɛ n t
ориентационен	o r i ɛ n t ə t͡s i ɔ n ɛ n
трудно	t r u d n o
разум	r a z ʊ m
аблан	ɐ b ɫ a n
простак	p r o s t a k
сънища	s ɤ n i ʃ t ə
версия	v ɛ r s i j ə
македонски	m ə kʲ ɛ d ɔ n s kʲ i
българка	b ɤ ɫ ɡ ə r k ə
пошъл	p ɔ ʃ ə ɫ
ганимед	ɡ ə n i m ɛ t
термин	t ɛ r m i n
коледа	k ɔ lʲ ɛ d ə
хвала	x v ɐ ɫ a
хидроелектричен	xʲ i d r o ɛ lʲ ɛ k t r i t͡ʃ e n
молитва	m o lʲ i t v ə
термит	t ɛ r m i t
мезе	m ɛ z ɛ
бръмбар	b r ɤ m b ə r
погреба	p o ɡ r ɛ b ə
наште	n a ʃ t ɛ
капак	k ɐ p a k
бандит	b ɐ n d i t
иск	i s k
допрочета	d o p r o t͡ʃ e t ɤ
усорлица	u s ɔ r lʲ i t͡s ə
рафт	r a f t
буляк	b u lʲ ə k
сечко	s ɛ t͡ʃ k o
довеждам	d o v ɛ ʒ d ə m
власт	v ɫ a s t
телевизия	t ɛ lʲ ɛ v i z i j ə
мерзавец	m ɛ r z a v ɛ t͡s
зърна	z ɤ r n ə
аглика	ɐ ɡ lʲ i k ə
край	k r a j
дървен	d ɤ r v ɛ n
узаконяванета	ʊ z ə k o nʲ a̟ v ə n ɛ t ə
бая	b ɐ j a̟
турна	t u r n a
бразилски	b r ɐ z i ɫ s kʲ i
лелек	lʲ ɛ lʲ ɛ k
прочут	p r o t͡ʃ u̟ t
паткан	p ɐ t k a n
двусмислица	d v u s m i s lʲ i t͡s ə
среда	s r ɛ d a
минута	m i n u t ə
създавам	s ə z d a v ə m
опера	ɔ p ɛ r ə
странноприемница	s t r ə n n o p r i ɛ m n i t͡s ə
пасат	p ɐ s ɤ t
телур	t ɛ ɫ u r
бихме	b i x m ɛ
старина	s t ə r i n a
щипалка	ʃ t i p a ɫ k ə
места	m ɛ s t a
разсипия	r ə s s i p i j ə
предвестие	p r ɛ d v ɛ s t i ɛ
долина	d o lʲ i n a
вървите	v ə r v i t ɛ
какъвто	k ɐ k ɤ f t o
месечина	m ɛ s ɛ t͡ʃ i n ə
петрол	p ɛ t r ɔ ɫ
щрих	ʃ t r i x
хала	x a ɫ ə
гневлив	ɡ n ɛ v lʲ i f
глутница	ɡ ɫ u t n i t͡s ə
духов	d u x o f
реша	r ɛ ʃ ɤ̟
прилеп	p r i lʲ ɛ p
държава	d ə r ʒ a̟ v ə
сприхав	s p r i x ə f
абортивен	ə b o r t i v ɛ n
християнин	x r i s t i j a̟ n i n
звучен	z v u t͡ʃ e n
леко	lʲ ɛ k o
познавам	p o z n a v ə m
любопитен	lʲ ʊ b o p i t ɛ n
жълтък	ʒ ə ɫ t ɤ k
роля	r ɔ lʲ ə
започвам	z ɐ p ɔ t͡ʃ v ə m
абатския	ɐ b a t s kʲ i j ə
карам	k a r ə m
превъзхождам	p r ɛ v ə s x ɔ ʒ d ə m
продавам	p r o d a v ə m
звънарка	z v ə n a r k ə
станой	s t ɐ n ɔ j
магаре	m ɐ ɡ a r ɛ
дори	d o r i
кукам	k u k ə m
страница	s t r a n i t͡s ə
щелите	ʃ t ɛ lʲ i t ɛ
висш	v i ʃ ʃ
желаещо	ʒ e ɫ a ɛ ʃ t o
частен	t͡ʃ a̟ s t ɛ n
юлски	j u̟ ɫ s kʲ i
сирийка	s i r iː k ə
калинка	k ɐ lʲ i ŋ k ə
тайна	t a j n ə
бангладеш	b a ŋ ɡ ɫ ə d ɛ ʃ
любопитство	lʲ ʊ b o p i t s t v o
падна	p a d n ə
просба	p r ɔ z b ə
носия	n o s i j ə
мишка	m i ʃ k ə
тука	t u k ə
международен	m ɛ ʒ d ʊ n ɐ r ɔ d ɛ n
лекарствен	lʲ ɛ k a r s t v ɛ n
мъгла	m ə ɡ ɫ a
превозен	p r ɛ v o z ɛ n
дряновец	d rʲ a̟ n o v ɛ t͡s
прах	p r a x
похват	p o x v a t
говорех	ɡ o v ɔ r ɛ x
атолитър	ə t o lʲ i t ə r
пищен	p i ʃ t ɛ n
сладост	s ɫ a d o s t
надонеса	n ə d o n ɛ s ɤ
зелен	z ɛ lʲ ɛ n
депонентен	d ɛ p o n ɛ n t ɛ n
по	p ɔ
работа	r a b o t ə
обстоятелство	o p s t o j a̟ t ɛ ɫ s t v o
театър	t ɛ a t ə r
витег	v i t ɛ k
билет	b i lʲ ɛ t
хлявав	x lʲ ɐ v a f
изпълнителен	i s p ə ɫ n i t ɛ lʲ ɛ n
изтребя	i s t r ɛ bʲ ə
повтор	p o f t ɔ r
пасохте	p a s o x t ɛ
координационен	k o o r d i n ə t͡s i ɔ n ɛ n
трофей	t r o f ɛ j
червив	t͡ʃ e r v i f
куя	k u j ə
учителски	u t͡ʃ i t ɛ ɫ s kʲ i
ако	a k o
имащи	i m ə ʃ t i
резка	r ɛ s k a
кайгана	k ə j ɡ ɐ n a
миризма	m i r i z m a
обесвам	o b ɛ s v ə m
работилница	r ə b o t i ɫ n i t͡s ə
привнеса	p r i v n ɛ s ɤ
къделя	k ə d ɛ lʲ ə
предполагам	p r ɛ t p o ɫ a ɡ ə m
гълъб	ɡ ɤ ɫ ə p
роднина	r o d n i n ə
светулка	s v ɛ t u ɫ k ə
ограничителен	o ɡ r ə n i t͡ʃ i t ɛ lʲ ɛ n
проклитичен	p r o k lʲ i t i t͡ʃ e n
иванов	i v a n o f
ирландски	i r ɫ a n t s kʲ i
основател	o s n o v a t ɛ ɫ
великан	v ɛ lʲ i k a n
горица	ɡ o r i t͡s ə
глупачка	ɡ ɫ u p a t͡ʃ k ə
малайзийо	m ɐ ɫ a j z i j o̟
оберон	ɔ b ɛ r o n
зри	z r i
краче	k r ɐ t͡ʃ e
щя	ʃ tʲ a̟
вероятно	v ɛ r o j a̟ t n o
бърне	b ə r n ɛ
автостоп	a f t o s t ɔ p
царица	t͡s ɐ r i t͡s ə
говорихте	ɡ o v o r i x t ɛ
сияхте	s i j a̟ x t ɛ
дойда	d ɔ j d ə
або	a b o
коприварче	k o p r i v a r t͡ʃ e
деца	d ɛ t͡s a
септември	s ɛ p t ɛ ɱ v r i
петънце	p ɛ t ə n t͡s ɛ
цинк	t͡s i ŋ k
мостик	m ɔ s t i k
авиационен	a v i ə t͡s i ɔ n ɛ n
аромат	ə r o m a t
височина	v i s o t͡ʃ i n a
щирица	ʃ t i r i t͡s ə
цент	t͡s ɛ n t
директор	d i r ɛ k t o r
кукла	k u k ɫ ə
гърне	ɡ ə r n ɛ
актиний	ɐ k t i n iː
припадна	p r i p a d n ə
доведа	d o v ɛ d ɤ
тънък	t ɤ n ə k
гулия	ɡ u lʲ i j ə
ароматен	ə r o m a t ɛ n
определен	o p r ɛ d ɛ lʲ ɛ n
тежък	t ɛ ʒ ə k
убивам	u b i v ə m
вкаменен	f k ə m ɛ n ɛ n
лъжица	ɫ ə ʒ i t͡s ə
фикус	f i k ʊ s
вяра	vʲ a̟ r ə
ядяхте	j æ dʲ a̟ x t ɛ
вземам	v z ɛ m ə m
богат	b o ɡ a t
бургас	b u r ɡ a s
очен	ɔ t͡ʃ e n
долар	d ɔ ɫ ə r
назад	n ɐ z a t
монах	m o n a x
пощаджия	p ɔ ʃ t ə d ʒ i j ə
казерна	k ɐ z ɛ r n ə
подлог	p ɔ d ɫ o k
ялите	j a̟ lʲ i t ɛ
сея	s ɛ j ə
мрем	m r ɛ m
гадина	ɡ ɐ d i n ə
загивам	z ɐ ɡʲ i v ə m
рай	r a j
онези	o n ɛ z i
бухал	b u x ə ɫ
кост	k ɔ s t
ноември	n o ɛ ɱ v r i
гнилоч	ɡ n i ɫ ɔ t͡ʃ
мрейки	m r ɛ j kʲ i
на	n a
ангелина	ə ŋ ɡʲ ɛ lʲ i n ə
завирушка	z ə v i r u ʃ k ə
фокус	f ɔ k ʊ s
германий	ɡʲ ɛ r m a n iː
логан	ɫ ɔ ɡ ə n
коридор	k o r i d ɔ r
гидия	ɡʲ i d i j ə
оногова	o n o ɡ ɔ v ə
отведа	o t v ɛ d ɤ
наблюдавам	n ə b lʲ u̟ d a v ə m
често	t͡ʃ e s t o
инакво	i n a k v o
работя	r ɐ b ɔ tʲ ə
подвързия	p o d v ə r z i j ə
говедо	ɡ o v ɛ d o
авантюристически	ə v ə n tʲ ʊ r i s t i t͡ʃ e s kʲ i
хълм	x ɤ ɫ m
пуйка	p u j k ə
чифлик	t͡ʃ i f lʲ i k
безплатен	b ɛ s p ɫ a t ɛ n
дружба	d r u ʒ b ə
членувана	t͡ʃ lʲ ɛ n u v ə n ə
сърпоклюн	s ə r p o k lʲ u̟ n
фиорд	f i ɔ r t
любовник	lʲ u̟ b ɔ v n i k
плевен	p lʲ ɛ v ɛ n
бледен	b lʲ ɛ d ɛ n
рак	r a k
дърволазка	d ə r v o ɫ a s k ə
реч	r ɛ t͡ʃ
щяла	ʃ tʲ a̟ ɫ ə
дългуч	d ə ɫ ɡ u t͡ʃ
двигател	d v i ɡ ə t ɛ ɫ
вашто	v a ʃ t o
грузински	ɡ r u z i n s kʲ i
мренета	m r ɛ n ɛ t ə
татко	t a t k o
парещ	p a r ɛ ʃ t
арка	a r k ə
корея	k o r ɛ j ə
вуйчо	v u j t͡ʃ o̟
успех	u s p ɛ x
всякога	f sʲ a̟ k o ɡ ə
скроб	s k r ɔ p
гургулица	ɡ ʊ r ɡ u lʲ i t͡s ə
топлик	t o p lʲ i k
африкански	ə f r i k a n s kʲ i
член	t͡ʃ lʲ ɛ n
почвам	p ɔ t͡ʃ v ə m
сиях	s i j a̟ x
репортер	r ɛ p o r t ɛ r
шугав	ʃ u̟ ɡ ə f
стефан	s t ɛ f ə n
почувствам	p o t͡ʃ u̟ s t v ə m
творя	t v o rʲ a̟
принуждавам	p r i n u ʒ d a v ə m
радио	r a d i o
крехък	k r ɛ x ə k
извиквам	i z v i k v ə m
глобя	ɡ ɫ o bʲ ɤ̟
култура	k u ɫ t u r ə
изнесе	i z n ɛ s ɛ
бавноходка	b ə v n o x ɔ t k ə
изгреба	i z ɡ r ɛ b ə
автодрезина	a f t o d r ɛ z i n ə
постоянен	p o s t o j a̟ n ɛ n
откажа	o t k a ʒ ə
литий	lʲ i t iː
заслужено	z ɐ s ɫ u ʒ e n o
завлека	z ə v lʲ ɛ k ɤ
изгубя	i z ɡ u bʲ ə
вашия	v a ʃ i j ə
разлат	r ɐ z ɫ a t
мътен	m ɤ t ɛ n
сервитьор	s ɛ r v i tʲ ɔ r
снасям	s n a sʲ ə m
играя	i ɡ r a j ə
господи	ɡ ɔ s p o d i
абсолютно	ɐ p s̪ o lʲ u t̪ n̪ o
ясмин	j ɐ s m i n
ветрило	v ɛ t r i ɫ o
загуба	z a ɡ ʊ b ə
имал	i m a ɫ
борий	b ɔ r iː
слон	s ɫ ɔ n
стипца	s t i p t͡s ə
модел	m o d ɛ ɫ
гавед	ɡ a v ɛ t
светлик	s v ɛ t lʲ i k
маниак	m ə n i a k
роса	r o s a
борба	b o r b a
етика	ɛ t i k ə
ландшафт	ɫ a n t ʃ ə f t
къртичи	k ə r t i t͡ʃ i
оцветявам	o t͡s v ɛ tʲ a̟ v ə m
хлапе	x ɫ ɐ p ɛ
мирта	m i r t ə
въоръжа	v ə o r ə ʒ ɤ̟
продавач	p r o d ɐ v a t͡ʃ
сладко	s ɫ a t k o
гав	ɡ a f
каквото	k ɐ k v ɔ t o
чуждица	t͡ʃ u̟ ʒ d i t͡s ə
понапека	p o n ə p ɛ k ɤ
авлига	ɐ v lʲ i ɡ ə
чао	t͡ʃ a̟ o
единия	ɛ d i n i j ə
палав	p a ɫ ə f
дърча	d ɤ r t͡ʃ ə
самун	s ɐ m u n
труден	t r u d ɛ n
тежест	t ɛ ʒ e s t
паслия	p a s lʲ i j ə
лакей	ɫ ɐ kʲ ɛ j
безсмъртен	b ɛ s s m ɤ r t ɛ n
цървул	t͡s ə r v u ɫ
адаптационен	ə d ə p t ə t͡s i ɔ n ɛ n
отсянка	o t sʲ a̟ ŋ k ə
изведнъж	i z v ɛ d n ɤ ʃ
оса	o s a
женски	ʒ e n s kʲ i
изправя	i s p r a vʲ ə
мреше	m r ɛ ʃ e
седемнадесет	s ɛ d ɛ m n a d ɛ s ɛ t
чай	t͡ʃ a̟ j
австралия	ɐ f s t r a lʲ i j ə
чукундур	t͡ʃ ʊ k u n d u r
двоичен	d v o i t͡ʃ e n
стърчиопашка	s t ə r t͡ʃ i o p a ʃ k ə
слагам	s ɫ a ɡ ə m
багер	b a ɡʲ ɛ r
имаща	i m ə ʃ t ə
откъслек	o t k ɤ s lʲ ɛ k
швейцарски	ʃ v ɛ j t͡s a r s kʲ i
възрастта	v ə z r ɐ s t a
стреж	s t r ɛ ʃ
буренак	b ʊ r ɛ n a k
дилянка	d i lʲ a̟ ŋ k ə
посетител	p o s ɛ t i t ɛ ɫ
тлъст	t ɫ ɤ s t
гира	ɡʲ i r ə
старец	s t a r ɛ t͡s
моден	m ɔ d ɛ n
ваш	v a ʃ
пшеница	p ʃ e n i t͡s ə
блудкав	b ɫ u t k ə f
имана	i m ə n ə
строг	s t r ɔ k
подбел	p ɔ d b ɛ ɫ
къщо	k ɤ ʃ t o
леля	lʲ ɛ lʲ ə
творец	t v o r ɛ t͡s
пя	pʲ a̟
информационен	i n f o r m ə t͡s i ɔ n ɛ n
лош	ɫ ɔ ʃ
въртошийка	v ə r t o ʃ iː k ə
биче	b i t͡ʃ e
стилистичен	s t i lʲ i s t i t͡ʃ e n
жрея	ʒ r ɛ j ə
юли	j u̟ lʲ i
повярвам	p o vʲ a̟ r v ə m
почивш	p o t͡ʃ i f ʃ
доведе	d o v ɛ d ɛ
породист	p o r o d i s t
тежа	t ɛ ʒ ɤ̟
петле	p ɛ t lʲ ɛ
коря	k o rʲ ɤ̟
числителен	t͡ʃ i s lʲ i t ɛ lʲ ɛ n
прекарам	p r ɛ k a r ə m
увал	u v a ɫ
плосък	p ɫ ɔ s ə k
знатен	z n a t ɛ n
прекаля	p r ɛ k ɐ lʲ ɤ̟
стръмнина	s t r ə m n i n a
хирургически	xʲ i r u r ɡʲ i t͡ʃ e s kʲ i
трескав	t r ɛ s k ə f
надолу	n ɐ d ɔ ɫ ʊ
изпявам	i s pʲ a̟ v ə m
хасий	x a s iː
стъпало	s t ə p a ɫ o
автобус	ə f t o b u s
зло	z ɫ ɔ
сърце	s ə r t͡s ɛ
история	i s t ɔ r i j ə
тербий	t ɛ r b iː
превъзнеса	p r ɛ v ə z n ɛ s ɤ
мраченик	m r a t͡ʃ e n i k
скарабей	s k ə r ɐ b ɛ j
канап	k ɐ n a p
вожд	v ɔ ʃ t
заявя	z ə j æ vʲ a̟
лава	ɫ a v ə
диня	d i nʲ ə
светиня	s v ɛ t i nʲ ə
грохот	ɡ r ɔ x o t
челяд	t͡ʃ e lʲ ə t
протоме	p r o t ɔ m ɛ
кафенета	k ə f ɛ n ɛ t ə
въглен	v ɤ ɡ lʲ ɛ n
стръмно	s t r ɤ m n o
черешарка	t͡ʃ e r ɛ ʃ a̟ r k ə
синхронизационен	s i n x r o n i z ə t͡s i ɔ n ɛ n
начален	n ɐ t͡ʃ a̟ lʲ ɛ n
узаконяваше	ʊ z ə k o nʲ a̟ v ə ʃ e
гаяче	ɡ ɐ j a̟ t͡ʃ e
участие	u t͡ʃ a̟ s t i ɛ
тилтия	t i ɫ t i j ə
едно	ɛ d n ɔ
здание	z d a n i ɛ
джамия	d ʒ ɐ m i j ə
миши	m i ʃ i
ама	a m ə
войска	v o j s k a
въвра	v ə v r ɤ
храм	x r a m
оправдавам	o p r ɐ v d a v ə m
обещавам	o b ɛ ʃ t a v ə m
ядящата	j æ dʲ a̟ ʃ t ə t ə
поляна	p o lʲ a̟ n ə
единица	ɛ d i n i t͡s ə
джийн	d ʒ iː n
прадеди	p r a d ɛ d i
количество	k o lʲ i t͡ʃ e s t v o
любов	lʲ u̟ b ɔ f
изплашвам	i s p ɫ a ʃ v ə m
сив	s i f
озадача	o z ə d ɐ t͡ʃ ɤ̟
инфантилен	i n f ɐ n t i lʲ ɛ n
толкоз	t ɔ ɫ k o s
арестувахме	a r ɛ s t u v a x m ɛ
спра	s p r ɤ
редица	r ɛ d i t͡s ə
кубирам	k u b i r ə m
бруя	b r u j ə
моето	m ɔ ɛ t o
напръстник	n a p r ə s n i k
завивка	z ɐ v i f k ə
отрови	o t r o v i
пожар	p o ʒ a̟ r
довлея	d o v lʲ ɛ j ə
институт	i n s t i t u t
ямбичен	j ɐ m b i t͡ʃ e n
галата	ɡ a ɫ ə t ə
славянски	s ɫ ɐ vʲ a̟ n s kʲ i
узаконявай	ʊ z ə k o nʲ a̟ v ə j
лъх	ɫ ɤ x
животи	ʒ i v ɔ t i
предупредя	p r ɛ d ʊ p r ɛ dʲ ɤ̟
ваште	v a ʃ t ɛ
глупост	ɡ ɫ u p o s t
сноп	s n ɔ p
авиотакси	a v i o t ɐ k s i
видим	v i d i m
заплитам	z ɐ p lʲ i t ə m
разболявам	r ə z b o lʲ a̟ v ə m
лабилен	ɫ ɐ b i lʲ ɛ n
любима	lʲ u̟ b i m ə
афера	ɐ f ɛ r ə
съчка	s ɤ t͡ʃ k ə
експедиция	ɛ k s p ɛ d i t͡s i j ə
патърдия	p ə t ə r d i j ə
гоблин	ɡ ɔ b lʲ i n
изковавам	i s k o v a v ə m
щир	ʃ t i r
свят	s vʲ a̟ t
вар	v a r
техничен	t ɛ x n i t͡ʃ e n
гълъбица	ɡ ə ɫ ə b i t͡s ə
юрган	j u̟ r ɡ a n
чедо	t͡ʃ e d o
тъкан	t ə k a n
телесен	t ɛ lʲ ɛ s ɛ n
дъщеря	d ə ʃ t ɛ rʲ a̟
смъртник	s m ɤ r t n i k
робот	r ɔ b o t
слузест	s ɫ u z ɛ s t
резлив	r ɛ z lʲ i f
глобявам	ɡ ɫ o bʲ a̟ v ə m
десет	d ɛ s ɛ t
барок	b ɐ r ɔ k
зърнест	z ɤ r n ɛ s t
радвам	r a d v ə m
герасим	ɡʲ ɛ r a s i m
изправям	i s p r a vʲ ə m
слуга	s ɫ u ɡ a
слой	s ɫ ɔ j
закупи	z ɐ k u p i
кораб	k ɔ r ə p
катерица	k a t ɛ r i t͡s ə
тиква	t i k v ə
пропаст	p r ɔ p ə s t
причастие	p r i t͡ʃ a̟ s t i ɛ
пролет	p r ɔ lʲ ɛ t
ужасно	u ʒ a̟ s n o
отпущам	o t p u ʃ t ə m
явен	j a̟ v ɛ n
адет	ɐ d ɛ t
имащия	i m ə ʃ t i j ə
вътре	v ɤ t r ɛ
щом	ʃ t ɔ m
плъх	p ɫ ɤ x
узаконяването	ʊ z ə k o nʲ a̟ v ə n ɛ t o
син	s i n
рив	r i f
езда	ɛ z d ɤ
аджемилък	ə d ʒ e m i ɫ ɤ k
фобос	f ɔ b o s
нанасям	n ɐ n a sʲ ə m
католичка	k ə t o lʲ i t͡ʃ k ə
невярващ	n ɛ vʲ a̟ r v ə ʃ t
убеждавам	ʊ b ɛ ʒ d a v ə m
доктор	d ɔ k t o r
плащам	p ɫ a ʃ t ə m
скришом	s k r i ʃ o̟ m
знаме	z n a m ɛ
млечнобял	m lʲ ɛ t͡ʃ n o bʲ a̟ ɫ
наш	n a ʃ
явя	j æ vʲ a̟
едноличен	ɛ d n o lʲ i t͡ʃ e n
стратегически	s t r ə t ɛ ɡʲ i t͡ʃ e s kʲ i
стикс	s t i k s
сляза	s lʲ a̟ z ə
надуваем	n ə d u v a ɛ m
лихва	lʲ i x v ə
авторитетен	a f t o r i t ɛ t ɛ n
стил	s t i ɫ
изключение	i s k lʲ u̟ t͡ʃ e n i ɛ
билото	b i ɫ o t o
щяло	ʃ tʲ a̟ ɫ o
абревиатура	a b r ɛ v i ɐ t u r ə
агрегатен	ə ɡ r ɛ ɡ a t ɛ n
филолог	f i ɫ o ɫ ɔ k
получавам	p o ɫ u t͡ʃ a̟ v ə m
мобилизационен	m o b i lʲ i z ə t͡s i ɔ n ɛ n
узаконяваха	ʊ z ə k o nʲ a̟ v ə x ə
шум	ʃ u̟ m
януари	j ə n u a r i
реклама	r ɛ k ɫ a m ə
вестник	v ɛ s n i k
буля	b u lʲ ə
пеганка	p ɛ ɡ a ŋ k ə
пухест	p u xʲ ɛ s t
белезници	b ɛ lʲ ɛ z n i t͡s i
право	p r a v o
гърлица	ɡ ɤ r lʲ i t͡s ə
бъдейки	b ɤ d ɛ j kʲ i
касационен	k ə s ə t͡s i ɔ n ɛ n
черногорски	t͡ʃ e r n o ɡ ɔ r s kʲ i
безпрецедентен	b ɛ s p r ɛ t͡s ɛ d ɛ n t ɛ n
орле	o r lʲ ɛ
ида	i d ə
узаконена	ʊ z ə k o n ɛ n ə
късно	k ɤ s n o
ой	ɔ j
кур	k u r
подлец	p o d lʲ ɛ t͡s
дотичам	d o t i t͡ʃ ə m
падишах	p ə d i ʃ a̟ x
смядов	s mʲ a̟ d o f
век	v ɛ k
пловдив	p ɫ ɔ v d i f
кино	kʲ i n o
румен	r u m ɛ n
атентат	ə t ɛ n t a t
валя	v ɐ lʲ ɤ̟
избода	i z b o d ɤ
пряк	p rʲ a̟ k
влез	v lʲ ɛ s
коронясвам	k o r o nʲ a̟ s v ə m
хокам	x ɔ k ə m
кимна	kʲ i m n ə
узаконявахте	ʊ z ə k o nʲ a̟ v ə x t ɛ
половина	p o ɫ o v i n ə
пътник	p ɤ t n i k
дьо	dʲ ɔ
европеец	ɛ v r o p ɛ ɛ t͡s
харамия	x ə r ɐ m i j ə
чужденец	t͡ʃ ʊ ʒ d ɛ n ɛ t͡s
аксиома	a k s i ɔ m ə
пасене	p ɐ s ɛ n ɛ
издател	i z d a t ɛ ɫ
нога	n o ɡ a
възкръсна	v ə s k r ɤ s n ə
иманите	i m ə n i t ɛ
пигментен	p i ɡ m ɛ n t ɛ n
синкав	s i ŋ k ə f
града	ɡ r a d ə
говно	ɡ o v n ɔ
преперец	p r ɛ p ɛ r ɛ t͡s
узаконявалия	ʊ z ə k o nʲ a̟ v ə lʲ i j ə
граждански	ɡ r a ʒ d ə n s kʲ i
абсциса	ɐ p s t͡s i s ə
загреб	z a ɡ r ɛ p
как	k a k
рехабилитационен	r ɛ x ə b i lʲ i t ə t͡s i ɔ n ɛ n
кюфте	kʲ o̟ f t ɛ
изпитвам	i s p i t v ə m
икона	i k ɔ n ə
нужда	n u ʒ d a
имайте	i m ə j t ɛ
раня	r ɐ nʲ ɤ̟
лакът	ɫ a k ə t
пръч	p r ɤ t͡ʃ
стрела	s t r ɛ ɫ a
участък	u t͡ʃ a̟ s t ə k
победител	p o b ɛ d i t ɛ ɫ
друг	d r u k
храня	x r a nʲ ə
всуе	f s u ɛ
какаду	k ə k ɐ d u
байно	b a j n o
творба	t v o r b a
окръжен	o k r ɤ ʒ e n
авторитарен	ə f t o r i t a r ɛ n
следобед	s lʲ ɛ d ɔ b ɛ t
алкохол	ə ɫ k o x ɔ ɫ
килолитър	kʲ i ɫ o lʲ i t ə r
гледка	ɡ lʲ ɛ t k ə
ананас	ə n ɐ n a s
висшист	v i ʃ ʃ i s t
дебелея	d ɛ b ɛ lʲ ɛ j ə
който	k ɔ j t o
о	ɔ
кале	k ɐ lʲ ɛ
хавлия	x ɐ v lʲ i j ə
пирон	p i r ɔ n
китайка	kʲ i t a j k ə
щете	ʃ t ɛ t ɛ
възпитание	v ə s p i t a n i ɛ
стратегичен	s t r ə t ɛ ɡʲ i t͡ʃ e n
забременея	z ə b r ɛ m ɛ n ɛ j ə
водоизпускател	v ɔ d o i s p u s k a t ɛ ɫ
тревист	t r ɛ v i s t
азе	a z ɛ
хирургичен	xʲ i r u r ɡʲ i t͡ʃ e n
