'day	ˈd a j
relihiyon	ɾ e l i h i ˈo n
relihiyosa	ɾ e l i h i ˈo s a
relihiyoso	ɾ e l i h i ˈo s o
relikaryo	ɾ e l i ˈk a ɾ j o
relikya	ɾ e ˈl i k j a
relo	ɾ e ˈl o
relohero	ɾ e l o ˈh e ɾ o
relokasyon	ɾ e l o k a s ˈj o n
relos	ɾ e ˈl o s
relyebo	ɾ e l ˈj e b o
relyeno	ɾ e l ˈj e n o
remata	ɾ e m a ˈt a
rematado	ɾ e m a ˈt a d o
remedyo	ɾ e ˈm e d j o
Remigio	ɾ e ˈm i h i o
remolatsa	ɾ e m o ˈl a t͡ʃ a
Remulla	ɾ e ˈm u l j a
remunerasyon	ɾ e m u n e ɾ a s ˈj o n
renasimyento	ɾ e n a s i m ˈj e n t o
renda	ˈɾ e n d a
reno	ˈɾ e n o
renta	ˈɾ e n t a
rentas	ˈɾ e n t a s
renunsiya	ɾ e n u n s i ˈa
Reodica	ɾ e o ˈd i k a
reorganisa	ɾ e ʔ o ɾ ɡ a n i ˈs a
reorganisasyon	ɾ e ʔ o ɾ ɡ a n i s a s ˈj o n
repake	ɾ e ˈp a k e
reparasyon	ɾ e p a ɾ a s ˈj o n
repaso	ɾ e ˈp a s o
reperendum	ɾ e p e ˈɾ e n d u m
reperensiya	ɾ e p e ˈɾ e n s j a
repertoryo	ɾ e p e ɾ ˈt o ɾ j o
repetisyon	ɾ e p e t i s ˈj o n
repike	ɾ e ˈp i k e
repinado	ɾ e p i ˈn a d o
repinador	ɾ e p i n a ˈd o ɾ
repineriya	ɾ e p i n e ˈɾ i a
repleksiyon	ɾ e p l e k s i ˈo n
replektor	ɾ e p l e k ˈt o ɾ
repolyo	ɾ e ˈp o l j o
reporma	ɾ e ˈp o ɾ m a
repormado	ɾ e p o ɾ ˈm a d o
repormasyon	ɾ e p o ɾ m a s ˈj o n
Repormasyon	ɾ e p o ɾ m a s ˈj o n
repormista	ɾ e p o ɾ ˈm i s t a
reportahe	ɾ e p o ɾ ˈt a h e
repositoryo	ɾ e p o s i ˈt o ɾ j o
representante	ɾ e p ɾ e s e n ˈt a n t e
representasyon	ɾ e p ɾ e s e n t a s ˈj o n
represko	ɾ e p ˈɾ e s k o
represyon	ɾ e p ɾ e s ˈj o n
repridyeretor	ɾ e p ɾ i d j e ˈɾ e t o ɾ
repriherador	ɾ e p ɾ i h e ɾ a ˈd o ɾ
repriherasyon	ɾ e p ɾ i h e ɾ a s ˈj o n
reproduksiyon	ɾ e p ɾ o d u k s i ˈo n
reptil	ɾ e p ˈt i l
reptilya	ɾ e p ˈt i l j a
republika	ɾ e ˈp u b l i k a
republikanismo	ɾ e p u b l i k a ˈn i s m o
republikano	ɾ e p u b l i ˈk a n o
reputasyon	ɾ e p u t a s ˈj o n
resbak	ˈɾ e s b a k
resepsiyon	ɾ e s e p s i ˈo n
reserba	ɾ e ˈs e ɾ b a
reserbado	ɾ e s e ɾ ˈb a d o
reserbasyon	ɾ e s e ɾ b a s ˈj o n
reseta	ɾ e ˈs e t a
resetaryo	ɾ e s e ˈt a ɾ j o
resibaryo	ɾ e s i ˈb a ɾ j o
resibo	ɾ e ˈs i b o
residensiya	ɾ e s i ˈd e n s j a
residensiyal	ɾ e s i d e n s i ˈa l
residente	ɾ e s i ˈd e n t e
resignasyon	ɾ e s i ɡ n a s ˈj o n
resina	ɾ e ˈs i n a
resistensiya	ɾ e s i s ˈt e n s j a
resitasyon	ɾ e s i t a s ˈj o n
Resma	ˈɾ e s m a
resolusyon	ɾ e s o l u s ˈj o n
respetable	ɾ e s p e ˈt a b l e
respeto	ɾ e s ˈp e t o
respirasyon	ɾ e s p i ɾ a s ˈj o n
respiratoryo	ɾ e s p i ɾ a ˈt o ɾ j o
responsabilidad	ɾ e s p o n s a b i l i ˈd a d
responsabilidad	ɾ e s p o n s i b i l i ˈd a d
responsable	ɾ e s p o n ˈs a b l e
restawran	ɾ e s t a w ˈɾ a n
restawran	ɾ e s ˈt a w ɾ a n
restitusyon	ɾ e s t i t u s ˈj o n
restoran	ɾ e s t o ˈɾ a n
restoran	ˈɾ e s t o ɾ a n
restriksiyon	ɾ e s t ɾ i k s i ˈo n
Resuello	ɾ e s ˈw e l j o
resulta	ɾ e ˈs u l t a
resureksiyon	ɾ e s u ɾ e k s i ˈo n
Resurreccion	ɾ e s u ɾ e k s i ˈo n
retaso	ɾ e ˈt a s o
retensiyon	ɾ e t e n s i ˈo n
retirada	ɾ e t i ˈɾ a d a
retirado	ɾ e t i ˈɾ a d o
retiro	ɾ e ˈt i ɾ o
reto	ˈɾ e t o
retoke	ɾ e ˈt o k e
retorika	ɾ e ˌt o ɾ i ˈk a
retraksiyon	ɾ e t ɾ a k s i ˈo n
retratista	ɾ e t ɾ a ˈt i s t a
retrato	ɾ e t ˈɾ a t o
retribusyon	ɾ e t ɾ i b u s ˈj o n
retroaktibo	ɾ e t ɾ o ʔ a k ˈt i b o
reunyon	ɾ e ʔ u n ˈj o n
reyal	ɾ e ˈa l
reyalidad	ɾ e a l i ˈd a d
reyalismo	ɾ e a ˈl i s m o
reyalista	ɾ e a ˈl i s t a
Reyes	ˈɾ e j e s
reyna	ˈɾ e j n a
Reyna	ˈɾ e j n a
Reynato	ɾ e j ˈn a t o
reyno	ˈɾ e j n o
Reynoso	ɾ e j ˈn o s o
ribal	ɾ i ˈb a l
ribyu	ɾ i b ˈj u
ribyuhin	ɾ i b j u ˈh i n
Ricafort	ɾ i k a ˈf o ɾ t
Ricafort	ɾ i k a ˈp o ɾ t
Ricafrente	ɾ i k a ˈf ɾ e n t e
Ricafrente	ɾ i k a ˈp ɾ e n t e
Ricardo	ɾ i ˈk a ɾ d o
Ricarte	ɾ i ˈk a ɾ t e
rigalo	ɾ i ˈɡ a l o
rigodon	ɾ i ɡ o ˈd o n
riles	ˈɾ i l e s
Rimando	ɾ i ˈm a n d o
rimarim	ɾ i ˈm a ɾ i m
rimas	ˈɾ i m a s
rin	ˈɾ i n
rin	ˈɾ e n
rine	ˈɾ i n e
rinef	ɾ i ˈn e f
rinef	ɾ i ˈn e p
rini	ˈɾ i n i
rinoseronte	ɾ i n o s e ˈɾ o n t e
Riñon	ɾ i n ˈj o n
ringgit	ˈɾ i ŋ ɡ i t
ringring	ɾ i ŋ ˈɾ i ŋ
riple	ˈɾ i p l e
ritmiko	ˌɾ i t m i ˈk o
ritmo	ˈɾ i t m o
rito	ˈɾ i t o
ritrato	ɾ i t ˈɾ a t o
ritwal	ɾ i t ˈw a l
Rivero	ɾ i ˈv e ɾ o
Rivero	ɾ i ˈb e ɾ o
riyan	ɾ i ˈa n
riyesgo	ɾ i ˈe s ɡ o
Rizal	ɾ i ˈz a l
Rizal	ɾ i ˈs a l
Rizalino	ɾ i z a ˈl i n o
Rizalino	ɾ i s a ˈl i n o
Roa	ˈɾ o a
Roberto	ɾ o ˈb e ɾ t o
Robles	ˈɾ o b l e s
robot	ˈɾ o b o t
Rocafort	ɾ o k a ˈf o ɾ t
Rocafort	ɾ o k a ˈp o ɾ t
Rodrigo	ɾ o d ˈɾ i ɡ o
Rodriguez	ɾ o d ˈɾ i ɡ e s
Rolando	ɾ o ˈl a n d o
Rolly	ˈɾ o l i
rolyo	ˈɾ o l j o
Romana	ɾ o ˈm a n a
Romano	ɾ o ˈm a n o
romansa	ɾ o ˈm a n s a
romantiko	ɾ o ˈm a n t i k o
Romasanta	ɾ o m a ˈs a n t a
Romblon	ɾ o m ˈb l o n
romero	ɾ o ˈm e ɾ o
Romero	ɾ o ˈm e ɾ o
rompida	ɾ o m ˈp i d a
Romualdez	ɾ o m ˈw a l d e s
Romualdo	ɾ o m ˈw a l d o
Romulo	ˈɾ o m u l o
ronda	ˈɾ o n d a
rondalya	ɾ o n ˈd a l j a
Rondilla	ɾ o n ˈd i l j a
Ronquillo	ɾ o n ˈk i l j o
Roño	ˈɾ o ɲ o
Rongavilla	ɾ o ŋ ɡ a ˈv i l j a
Rongavilla	ɾ o ŋ ɡ a ˈb i l j a
roon	ɾ o ˈʔ o n
Rosa	ˈɾ o s a
Rosales	ɾ o ˈs a l e s
Rosario	ɾ o ˈs a ɾ j o
rosaryo	ɾ o ˈs a ɾ j o
rosas	ˈɾ o s a s
Rosauro	ɾ o ˈs a w ɾ o
Rose	ˈɾ o w s
Rosemary	ˌɾ o w s ˈm e ɾ i
Rosendo	ɾ o ˈs e n d o
Rosete	ɾ o ˈs e t e
Rosie	ˈɾ o w s i
Rosing	ɾ o ˈs i ŋ
rotasyon	ɾ o t a s ˈj o n
rotonda	ɾ o ˈt o n d a
rotunda	ɾ o ˈt u n d a
Roxas	ˈɾ o h a s
rubi	ɾ u ˈb i
rubya	ˈɾ u b j a
rubyo	ˈɾ u b j o
Ruedas	ɾ u ˈe d a s
ruler	ˈɾ u l e ɾ
ruleta	ɾ u ˈl e t a
Rumana	ɾ u ˈm a n a
Rumano	ɾ u ˈm a n o
Rumanya	ɾ u ˈm a n j a
rumba	ˈɾ u m b a
rumesbak	ɾ u ˈm e s b a k
rumi	ɾ u ˈm i
rumor	ɾ u ˈm o ɾ
rumupok	ɾ u m u ˈp o k
rumurupok	ɾ u m u ɾ u ˈp o k
rupok	ɾ u ˈp o k
rupya	ˈɾ u p j a
rurok	ˈɾ u ɾ o k
rurupok	ɾ u ɾ u ˈp o k
Rusa	ˈɾ u s a
Ruso	ˈɾ u s o
Rusya	ˈɾ u s j a
ruta	ˈɾ u t a
ruweda	ɾ u ˈe d a
ruwina	ɾ u ˈi n a
s	ʔ e s
s	s a
s	ˈʔ e s e
s	s
S	ʔ e s
S	s a
S	ˈʔ e s e
S	s
sa	s a
sa	s a
sa	ˈs a
saa	s a ˈʔ a
saab	s a ˈʔ a b
saab	ˈs a ʔ a b
saad	s a ˈʔ a d
saak	s a ˈʔ a k
saan	s a ˈʔ a n
saan	ˈs a n
saanman	s a ʔ a n ˈm a n
saat	s a ˈʔ a t
Saavedra	s a ʔ a ˈv e d ɾ a
Saavedra	s a ʔ a ˈb e d ɾ a
Sab.	ˈs a b
saba	s a ˈb a
sabad	s a ˈb a d
Sabadista	s a b a ˈd i s t a
Sabado	ˈs a b a d o
sabak	ˈs a b a k
sabal	ˈs a b a l
sabana	s a ˈb a n a
sabanyon	s a b a n ˈj o n
Sabangan	s a ˈb a ŋ a n
sabangan	s a ˈb a ŋ a n
sabangan	s a b a ˈŋ a n
sabat	ˈs a b a t
sabat	s a ˈb a t
Sabater	s a b a ˈt e ɾ
sabaw	s a ˈb a w
sabay	s a ˈb a j
Sabeniano	s a b e n ˈj a n o
sabi	ˈs a b i
sabi	ˈs a b e
sabihan	s a ˈb i h a n
sabihan	ˌs a ˈb i h a n
sabihin	s a ˈb i h i n
sabik	s a ˈb i k
sabila	ˈs a b i l a
sabilaw	s a ˈb i l a w
Sabillo	s a ˈb i l j o
sabit	ˈs a b i t
sablay	s a b ˈl a j
sable	ˈs a b l e
sabo	ˈs a b o
sabog	s a ˈb o ɡ
sabog	ˈs a b o ɡ
sabon	s a ˈb o n
sabong	ˈs a b o ŋ
sabongera	s a b o ˈŋ e ɾ a
sabongero	s a b o ˈŋ e ɾ o
sabotahe	s a b o ˈt a h e
saboy	ˈs a b o j
sabsab	s a b ˈs a b
sabsaban	s a b ˈs a b a n
sabunan	ˌs a ˈb u n a n
sabunan	s a b u ˈn a n
sabunin	s a b u ˈn i n
sabunin	ˌs a ˈb u n i n
sabunot	s a ˈb u n o t
sabunutan	s a b u ˈn u t a n
sabunutan	ˌs a b u n u ˈt a n
sabungero	s a b u ˈŋ e ɾ o
Saburo	s a ˈb u ɾ o
sabutan	s a b u ˈt a n
sabwat	s a b ˈw a t
sabwatan	s a b ˈw a t a n
Sacdalan	s a k ˈd a l a n
Saclolo	s a k ˈl o l o
Sadie	ˈs e j d i
sadismo	s a ˈd i s m o
sadista	s a ˈd i s t a
Sadiwa	s a ˈd i w a
sadiwa	s a ˈd i w a ʔ
sadiya	s a d i ˈa ʔ
sadlak	s a d ˈl a k
sadlok	s a d ˈl o k
sadsad	s a d ˈs a d
sadya	s a d ˈj a ʔ
sadya	ˈs a d j a ʔ
saga	ˈs a ɡ a ʔ
sagaak	s a ɡ a ˈʔ a k
sagabal	s a ˈɡ a b a l
sagad	s a ˈɡ a d
sagad	s a ˈɡ a d
sagad	ˈs a ɡ a d
sagadsad	s a ɡ a d ˈs a d
sagal	ˈs a ɡ a l
sagam	ˈs a ɡ a m
sagana	s a ˈɡ a n a ʔ
sagansan	s a ɡ a n ˈs a n
sagap	ˈs a ɡ a p
sagasa	s a ˈɡ a s a ʔ
sagasa	s a ɡ a ˈs a ʔ
sagasag	s a ɡ a ˈs a ɡ
sagasain	s a ɡ a ˈs a ʔ i n
sagat	ˈs a ɡ a t
sagay	ˈs a ɡ a j
Sagay	ˈs a ɡ a j
sagayad	s a ˈɡ a j a d
sagayad	s a ɡ a ˈj a d
Sagaysay	s a ɡ a j ˈs a j
sagi	ˈs a ɡ i ʔ
sagi	ˈs a ɡ e ʔ
sagid	ˈs a ɡ i d
sagilap	s a ˈɡ i l a p
sagimsim	s a ɡ i m ˈs i m
sagimuymoy	s a ɡ i m u j ˈm o j
saginsin	s a ɡ i n ˈs i n
saging	ˈs a ɡ i ŋ
sagingan	s a ˈɡ i ŋ a n
sagingan	s a ɡ i ˈŋ a n
sagip	s a ˈɡ i p
sagisag	s a ˈɡ i s a ɡ
Sagitaryo	s a ɡ i ˈt a ɾ j o
sagitsit	s a ɡ i t ˈs i t
sagka	s a ɡ ˈk a ʔ
sagkaan	s a ɡ k a ˈʔ a n
saglit	s a ɡ ˈl i t
saglit	s a ɡ ˈl e t
sago	s a ˈɡ o
sago	ˈs a ɡ o
sagot	s a ˈɡ o t
sagoy	s a ˈɡ o j
sagpak	s a ɡ ˈp a k
sagpi	s a ɡ ˈp i ʔ
sagrado	s a ɡ ˈɾ a d o
sagsag	s a ɡ ˈs a ɡ
sagubang	s a ɡ u ˈb a ŋ
Saguinsin	s a ɡ i n ˈs i n
Sagun	ˈs a ɡ u n
sagupa	s a ˈɡ u p a ʔ
sagutan	ˌs a ˈɡ u t a n
sagutan	s a ɡ u ˈt a n
sagutin	ˌs a ˈɡ u t i n
sagutin	s a ɡ u ˈt i n
sagwa	s a ɡ ˈw a ʔ
sagwan	s a ɡ ˈw a n
sagwil	s a ɡ ˈw i l
saha	ˈs a h a ʔ
Sahagun	s a ˈh a ɡ u n
sahang	ˈs a h a ŋ
sahat	ˈs a h a t
sahig	s a ˈh i ɡ
sahig	s a ˈh e ɡ
Sahitaryo	s a h i ˈt a ɾ j o
saho	s a ˈh o ʔ
sahod	ˈs a h o d
sahog	s a ˈh o ɡ
sahol	ˈs a h o l
sahol	s a ˈh o l
said	s a ˈʔ i d
sailalim	s a ˈʔ i l a j m
Saimsim	s a ʔ i m ˈs i m
saing	ˈs a ʔ i ŋ
sais	s a ˈʔ i s
saka	s a ˈk a ʔ
saka	ˈs a k a
saka	s a ˈk a
sakag	s a ˈk a ɡ
sakahan	s a k a ˈh a n
sakahan	ˌs a ˈk a h a n
sakal	s a ˈk a l
sakali	s a ˈk a l i ʔ
sakali	s a ˈk a l e ʔ
sakam	s a ˈk a m
sakang	s a ˈk a ŋ
sakapuwego	s a k a p u ˈe ɡ o
sakate	s a ˈk a t e
sakay	s a ˈk a j
sakayan	ˌs a ˈk a j a n
sakayan	s a k a ˈj a n
sakdal	s a k ˈd a l
sakidlat	s a k i d ˈl a t
sakil	ˈs a k i l
sakim	s a ˈk i m
sakit	s a ˈk i t
sakit	s a ˈk e t
sakit	ˈs a k i t
sakitin	ˌs a ˈk i t i n
sakitin	s a ˈk i t i n
sakla	s a k ˈl a ʔ
saklang	s a k ˈl a ŋ
saklap	s a k ˈl a p
saklaw	s a k ˈl a w
saklay	s a k ˈl a j
saklit	s a k ˈl i t
saklob	s a k ˈl o b
saklolo	s a k ˈl o l o
sakmata	s a k m a ˈt a
saknong	s a k ˈn o ŋ
sako	ˈs a k o
sakob	ˈs a k o b
sakol	ˈs a k o l
sakol	s a ˈk o l
sakong	ˈs a k o ŋ
sakop	ˈs a k o p
sakop	s a ˈk o p
sakote	s a ˈk o t e
sakramento	s a k ɾ a ˈm e n t o
sakrilehiyo	s a k ɾ i ˈl e h i o
sakripisyo	s a k ɾ i ˈp i s j o
sakristan	s a k ɾ i s ˈt a n
sakristiya	s a k ɾ i s ˈt i a
saks	ˈs a k s
saksa	s a k ˈs a ʔ
saksak	s a k ˈs a k
saksak	ˈs a k s a k
saksakan	ˌs a k ˈs a k a n
saksakan	s a k s a ˈk a n
saksakin	s a k s a ˈk i n
saksi	s a k ˈs i
saksihan	s a k s i ˈh a n
saktan	s a k ˈt a n
sakto	ˈs a k t o
sakuna	s a k u ˈn a ʔ
sakuna	s a k u ˈn a
sakupbayan	s a k u p ˈb a j a n
sakwa	s a k ˈw a
sakya	s a k ˈj a ʔ
sakyan	s a k ˈj a n
sala	ˈs a l a
sala	ˈs a l a ʔ
sala	s a ˈl a ʔ
sala	ˈs a l a
sala	ˈs a l a ʔ
sala	s a ˈl a ʔ
sala	s a ˈl a
sala	ˈs a l a ʔ
sala	s a ˈl a ʔ
salaan	s a l a ˈʔ a n
salaan	s a ˈl a ʔ a n
salab	ˈs a l a b
salab	s a ˈl a b
salab	ˈs a l a b
salab	s a ˈl a b
salabat	s a l a ˈb a t
salabat	s a ˈl a b a t
salabay	s a ˈl a b a j
salabay	s a l a ˈb a j
salabid	s a l a ˈb i d
salag	s a ˈl a ɡ
salag	ˈs a l a ɡ
salaghati	s a l a ɡ ˈh a t i ʔ
salagimsim	s a l a ɡ i m ˈs i m
salaginto	s a l a ɡ i n ˈt o ʔ
salagoy	s a l a ˈɡ o j
salagubang	s a l a ˈɡ u b a ŋ
Salagubang	s a l a ˈɡ u b a ŋ
salahilo	s a l a ˈh i l o
salakab	s a l a ˈk a b
salakat	s a l a ˈk a t
salakata	s a l a k a ˈt a ʔ
salakay	s a ˈl a k a j
salakot	s a l a ˈk o t
salalak	s a ˈl a l a k
salalay	s a ˈl a l a j
salamangka	s a l a ˈm a ŋ k a
salamangkero	s a l a m a ŋ ˈk e ɾ o
salamat	s a ˈl a m a t
Salamat	s a ˈl a m a t
salami	s a ˈl a m i
salamin	s a l a ˈm i n
salamisim	s a l a ˈm i s i m
salampak	s a l a m ˈp a k
salampay	s a l a m ˈp a j
salamuha	s a l a ˈm u h a ʔ
Salandanan	s a l a n ˈd a n a n
salansan	s a l a n ˈs a n
salanta	s a l a n ˈt a ʔ
salang	ˈs a l a ŋ
salang	s a ˈl a ŋ
salanggapang	s a l a ŋ ɡ a ˈp a ŋ
salangit	s a ˈl a ŋ i t
salangkipot	ˌs a l a ŋ k i ˈp o t
salap	ˈs a l a p
salap	s a ˈl a p
salapang	s a l a ˈp a ŋ
salapaw	s a l a ˈp a w
salapaw	s a ˈl a p a w
salapi	s a l a ˈp i ʔ
salapid	s a l a ˈp i d
salapid	s a ˈl a p i d
salapid	s a ˈl a p i d
salapot	s a ˈl a p o t
salapsap	s a l a p ˈs a p
salara	s a ˈl a ɾ a
salarin	s a l a ˈɾ i n
salas	ˈs a l a s
salasa	s a ˈl a s a ʔ
salasala	s a ˌl a s a ˈl a
salat	s a ˈl a t
salatan	s a ˈl a t a n
salaula	s a l a ˈʔ u l a ʔ
Salaveria	s a l a ˈv e ɾ j a
salawa	s a l a ˈw a
salawag	s a ˈl a w a ɡ
salawahan	ˌs a l a w a ˈh a n
salawahan	s a l a ˈw a h a n
salawak	s a l a ˈw a k
salawal	s a l a ˈw a l
salawikain	s a ˌl a w i k a ˈʔ i n
salawsaw	s a l a w ˈs a w
salay	s a ˈl a j
salay	ˈs a l a j
salay	s a ˈl a j
salaysay	s a l a j ˈs a j
Salazar	s a l a ˈz a ɾ
Salazar	s a l a ˈs a ɾ
salba	s a l ˈb a
salbabida	s a l b a ˈb i d a
salbahe	s a l ˈb a h e
Salceda	s a l ˈs e d a
Salcedo	s a l ˈs e d o
Saldaña	s a l ˈd a ɲ a
saleko	s a ˈl e k o
Sales	ˈs a l e s
Salgado	s a l ˈɡ a d o
sali	ˈs a l i
sali	ˈs a l e
sali	ˈs a l i ʔ
salida	s a ˈl i d a
salig	ˈs a l i ɡ
saligan	s a l i ˈɡ a n
saligan	ˌs a ˈl i ɡ a n
saligan	s a ˈl i ɡ a n
salik	ˈs a l i k
salikop	s a ˈl i k o p
salikop	s a l i ˈk o p
saliksik	s a l i k ˈs i k
salimao	s a l i m a ˈʔ o
salimpusa	ˌs a l i m ˈp u s a ʔ
salimuot	s a l i m u ˈʔ o t
salimuot	s a l i ˈm u ʔ o t
salin	ˈs a l i n
Salinas	s a ˈl i n a s
salinlahi	s a l i n ˈl a h i ʔ
salipadpad	s a l i p a d ˈp a d
salipawpaw	s a l i p a w ˈp a w
salisi	s a l i ˈs i
salit	s a ˈl i t
salita	s a l i ˈt a ʔ
salitain	s a l i t a ˈʔ i n
salitain	s a l i ˈt a ʔ i n
salitre	s a ˈl i t ɾ e
saliw	ˈs a l i w
saliw	s a ˈl i w
Sally	ˈs a l i
salmo	ˈs a l m o
salmon	s a l ˈm o n
salo	s a ˈl o
salo	ˈs a l o
salo	ˈs a l o ʔ
salog	ˈs a l o ɡ
salok	ˈs a l o k
Salonga	s a ˈl o ŋ ɡ a
salop	s a ˈl o p
salot	ˈs a l o t
saloy	ˈs a l o j
salsa	ˈs a l s a
salsal	s a l ˈs a l
salta	s a l ˈt a
saltik	s a l ˈt i k
salubayo	s a l u b a ˈj o
salubong	s a ˈl u b o ŋ
salubsob	s a l u b ˈs o b
Salud	s a ˈl u d
saludo	s a ˈl u d o
salukoy	s a ˈl u k o j
salulo	s a ˈl u l o ʔ
Salumbides	s a l u m ˈb i d e s
salumpong	s a l u m ˈp o ŋ
salumpuwit	s a l u m p u ˈi t
saluno	s a ˈl u n o ʔ
salungguhit	s a l u ŋ ˈɡ u h i t
salungki	s a l u ŋ ˈk i ʔ
salungso	s a l u ŋ ˈs o ʔ
saluyan	s a ˈl u j a n
saluyot	s a ˈl u j o t
saluysoy	s a l u j ˈs o j
Salva	ˈs a l v a
Salva	ˈs a l b a
Salvacion	s a l v a s ˈj o n
Salvacion	s a l b a s ˈj o n
Salvador	s a l v a ˈd o ɾ
Salvador	s a l b a ˈd o ɾ
salvage	ˈs a l v e j d͡ʒ
salvage	ˈs a l b e j d͡ʒ
Salvanera	s a l b a ˈn e ɾ a
Salvatierra	s a l v a t i ˈe r a
Salvatierra	s a l b a t i ˈe ɾ a
salwa	s a l ˈw a
salwak	s a l ˈw a k
sama	ˈs a m a
sama	s a ˈm a ʔ
sama	s a ˈm a
samahan	s a m a ˈh a n
samahan	ˌs a m a ˈh a n
samahan	s a ˈm a h a n
samahan	ˌs a ˈm a h a n
samain	s a m a ˈʔ i n
samain	ˌs a ˈm a ʔ i n
samakalawa	s a m a k a l a ˈw a
samakatlo	s a m a k a t ˈl o
samakatwid	s a m a k a t ˈw i d
samalamig	s a m a l a ˈm i ɡ
Samaniego	s a m a n ˈj e ɡ o
samantala	s a m a n ˈt a l a
samantala	s a m a n ˈt a l a ʔ
samantala	s a m a n t a ˈl a
samantala	s a m a n ˈt a l a
Samantha	s a ˈm a n t a
Samar	ˈs a m a ɾ
samaral	s a ˈm a ɾ a l
samasam	s a ˈm a s a m
samat	ˈs a m a t
samat	s a ˈm a t
samat	ˈs a m a t
samay	ˈs a m a j
samaya	s a m a ˈj a ʔ
samba	s a m ˈb a
samba	ˈs a m b a
sambal	s a m ˈb a l
sambalilo	s a m b a ˈl i l o
sambasamba	s a m ˌb a s a m ˈb a
sambat	s a m ˈb a t
sambit	s a m ˈb i t
sambog	s a m ˈb o ɡ
sambong	s a m ˈb o ŋ
sambulat	s a m ˈb u l a t
samgyup	ˈs a m ɡ j u p
samgyupsal	ˈs a m ɡ j u p s a l
samid	s a ˈm i d
samil	ˈs a m i l
samo	ˈs a m o ʔ
Samonte	s a ˈm o n t e
samot	ˈs a m o t
sampa	s a m ˈp a
Sampaga	s a m ˈp a ɡ a
sampaga	s a m ˈp a ɡ a
sampagita	s a m p a ˈɡ i t a
sampaguita	s a m p a ˈɡ i t a
sampal	s a m ˈp a l
sampalataya	s a m p a l a ˈt a j a
Sampaloc	s a m ˈp a l o k
sampalok	s a m ˈp a l o k
Sampalukin	s a m p a ˈl u k i n
sampan	s a m ˈp a n
sampay	s a m ˈp a j
sampayan	s a m ˈp a j a n
sampayan	s a m p a ˈj a n
sampid	s a m ˈp i d
sampo	s a m ˈp o ʔ
sampol	ˈs a m p o l
sampu	s a m ˈp u ʔ
samsam	s a m ˈs a m
samsamin	s a m s a ˈm i n
Samson	ˈs a m s o n
Samuel	s a m ˈw e l
samuol	s a ˈm u ʔ o l
samuray	s a m u ˈɾ a j
samyo	s a m ˈj o
samyo	s a m ˈj o ʔ
san	ˈs a n
San	ˈs a n
sana	ˈs a n a
sana	s a ˈn a ʔ
sana	ˈs a n a ʔ
sanap	s a ˈn a p
sanap	ˈs a n a p
sanay	s a ˈn a j
sanay	ˈs a n a j
sanaysay	s a n a j ˈs a j
Sanchez	ˈs a n t͡ʃ e s
sandaan	s a n d a ˈʔ a n
sandaigdigan	s a n d a ʔ i ɡ ˈd i ɡ a n
sandakati	s a n d a ˈk a t i ʔ
sandal	s a n ˈd a l
sandali	s a n d a ˈl i ʔ
sandali	s a n d a ˈl e ʔ
sandali	s a n ˈd a l i ʔ
sandalo	ˈs a n d a l o
sandalyas	s a n ˈd a l j a s
sandalyas	s a n d a l ˈj a s
sandamukal	s a n d a ˈm u k a l
sandana	s a n d a ˈn a ʔ
sandata	s a n ˈd a t a
sandatahan	ˌs a n d a t a ˈh a n
sandatahan	s a n ˈd a t a h a n
sando	ˈs a n d o
sandok	s a n ˈd o k
Sandoval	s a n d o ˈv a l
Sandoval	s a n d o ˈb a l
sandugo	s a n d u ˈɡ o ʔ
sanduguan	s a n d u ɡ u ˈʔ a n
sanhi	s a n ˈh i ʔ
sanib	ˈs a n i b
saniban	s a ˈn i b a n
sanidad	s a n i ˈd a d
sanitaryo	s a n i ˈt a ɾ j o
sanke	s a n ˈk e ʔ
sanki	s a ŋ ˈk i ʔ
sanktuwaryo	s a n k t u ˈa ɾ j o
sanlaksa	s a n l a k ˈs a ʔ
sanlibo	s a n ˈl i b o
sanlibutan	s a n l i b u ˈt a n
sano	s a ˈn o ʔ
sanog	ˈs a n o ɡ
sanrok	s a n ˈɾ o k
sansala	s a n ˈs a l a ʔ
sansan	s a n ˈs a n
sanse	s a n ˈs e
Sanskrito	s a n s ˈk ɾ i t o
Sanskrito	ˈs a n s k ɾ i t o
Sanson	ˈs a n s o n
Santa	ˈs a n t a
santa	ˈs a n t a
santabi	s a n t a ˈb i
santabi	s a n ˈt a b i ʔ
santacruzan	s a n t a ˈk ɾ u s a n
santakrusan	s a n t a ˈk ɾ u s a n
santan	s a n ˈt a n
santelmo	s a n ˈt e l m o
Santiago	s a n t i ˈa ɡ o
Santillan	s a n t i l ˈj a n
santo	ˈs a n t o
santo	s a n ˈt o
Santo	ˈs a n t o
santol	s a n ˈt o l
Santos	ˈs a n t o s
santuwaryo	s a n t u ˈa ɾ j o
Sanvictores	s a n v i k ˈt o ɾ e s
Sanvictores	s a n b i k ˈt o ɾ e s
sanga	s a ˈŋ a
sangab	ˈs a ŋ a b
sangag	s a ˈŋ a ɡ
sangagin	s a ŋ a ˈɡ i n
sangal	s a ˈŋ a l
Sangalang	s a ŋ ˈɡ a l a ŋ
sangandaan	s a ˌŋ a n d a ˈʔ a n
Sangandaan	s a ˌŋ a n d a ˈʔ a n
sangat	ˈs a ŋ a t
sangay	s a ˈŋ a j
